Date_ID,Date,year,Month,Quarter,Date_ID.1
DT00452,2018-03-28,2018,3,Q1,DT00452
DT00453,2018-03-29,2018,3,Q1,DT00453
DT00454,2018-03-30,2018,3,Q1,DT00454
DT00455,2018-03-31,2018,3,Q1,DT00455
DT00456,2018-04-01,2018,4,Q2,DT00456
DT00457,2018-04-02,2018,4,Q2,DT00457
DT00458,2018-04-03,2018,4,Q2,DT00458
DT00459,2018-04-04,2018,4,Q2,DT00459
DT00460,2018-04-05,2018,4,Q2,DT00460
DT00461,2018-04-06,2018,4,Q2,DT00461
DT00462,2018-04-07,2018,4,Q2,DT00462
DT00463,2018-04-08,2018,4,Q2,DT00463
DT00464,2018-04-09,2018,4,Q2,DT00464
DT00465,2018-04-10,2018,4,Q2,DT00465
DT00466,2018-04-11,2018,4,Q2,DT00466
DT00467,2018-04-12,2018,4,Q2,DT00467
DT00468,2018-04-13,2018,4,Q2,DT00468
DT00469,2018-04-14,2018,4,Q2,DT00469
DT00470,2018-04-15,2018,4,Q2,DT00470
DT00471,2018-04-16,2018,4,Q2,DT00471
DT00472,2018-04-17,2018,4,Q2,DT00472
DT00473,2018-04-18,2018,4,Q2,DT00473
DT00474,2018-04-19,2018,4,Q2,DT00474
DT00475,2018-04-20,2018,4,Q2,DT00475
DT00476,2018-04-21,2018,4,Q2,DT00476
DT00477,2018-04-22,2018,4,Q2,DT00477
DT00478,2018-04-23,2018,4,Q2,DT00478
DT00479,2018-04-24,2018,4,Q2,DT00479
DT00480,2018-04-25,2018,4,Q2,DT00480
DT00481,2018-04-26,2018,4,Q2,DT00481
DT00482,2018-04-27,2018,4,Q2,DT00482
DT00483,2018-04-28,2018,4,Q2,DT00483
DT00484,2018-04-29,2018,4,Q2,DT00484
DT00485,2018-04-30,2018,4,Q2,DT00485
DT00486,2018-05-01,2018,5,Q2,DT00486
DT00487,2018-05-02,2018,5,Q2,DT00487
DT00488,2018-05-03,2018,5,Q2,DT00488
DT00489,2018-05-04,2018,5,Q2,DT00489
DT00490,2018-05-05,2018,5,Q2,DT00490
DT00491,2018-05-06,2018,5,Q2,DT00491
DT00492,2018-05-07,2018,5,Q2,DT00492
DT00493,2018-05-08,2018,5,Q2,DT00493
DT00494,2018-05-09,2018,5,Q2,DT00494
DT00495,2018-05-10,2018,5,Q2,DT00495
DT00496,2018-05-11,2018,5,Q2,DT00496
DT00497,2018-05-12,2018,5,Q2,DT00497
DT00498,2018-05-13,2018,5,Q2,DT00498
DT00499,2018-05-14,2018,5,Q2,DT00499
DT00500,2018-05-15,2018,5,Q2,DT00500
DT00501,2018-05-16,2018,5,Q2,DT00501
DT00502,2018-05-17,2018,5,Q2,DT00502
DT00503,2018-05-18,2018,5,Q2,DT00503
DT00504,2018-05-19,2018,5,Q2,DT00504
DT00505,2018-05-20,2018,5,Q2,DT00505
DT00506,2018-05-21,2018,5,Q2,DT00506
DT00507,2018-05-22,2018,5,Q2,DT00507
DT00508,2018-05-23,2018,5,Q2,DT00508
DT00509,2018-05-24,2018,5,Q2,DT00509
DT00510,2018-05-25,2018,5,Q2,DT00510
DT00511,2018-05-26,2018,5,Q2,DT00511
DT00512,2018-05-27,2018,5,Q2,DT00512
DT00513,2018-05-28,2018,5,Q2,DT00513
DT00514,2018-05-29,2018,5,Q2,DT00514
DT00515,2018-05-30,2018,5,Q2,DT00515
DT00516,2018-05-31,2018,5,Q2,DT00516
DT00517,2018-06-01,2018,6,Q2,DT00517
DT00518,2018-06-02,2018,6,Q2,DT00518
DT00519,2018-06-03,2018,6,Q2,DT00519
DT00520,2018-06-04,2018,6,Q2,DT00520
DT00521,2018-06-05,2018,6,Q2,DT00521
DT00522,2018-06-06,2018,6,Q2,DT00522
DT00523,2018-06-07,2018,6,Q2,DT00523
DT00524,2018-06-08,2018,6,Q2,DT00524
DT00525,2018-06-09,2018,6,Q2,DT00525
DT00526,2018-06-10,2018,6,Q2,DT00526
DT00527,2018-06-11,2018,6,Q2,DT00527
DT00528,2018-06-12,2018,6,Q2,DT00528
DT00529,2018-06-13,2018,6,Q2,DT00529
DT00530,2018-06-14,2018,6,Q2,DT00530
DT00531,2018-06-15,2018,6,Q2,DT00531
DT00532,2018-06-16,2018,6,Q2,DT00532
